역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
개화,Gaehwa,Gaehwa,ケファ,开花,
김포공항,Gimpo Int'l Airport,Gimpo Int'l Airport,金浦空港,金浦机场,
공항시장,Airport Market,Airport Market,コンハンシジャン,空港市场,
신방화,Sinbanghwa,Sinbanghwa,シンバンファ,新傍花,
마곡나루,Magongnaru,Magongnaru,マゴンナル,麻谷渡口,
양천향교,Yangcheon Hyanggyo,Yangcheon Hyanggyo,ヤンチョンヒャンギョ,阳川乡校,
가양,Gayang,Gayang,カヤン,加阳,
증미,Jeungmi,Jeungmi,チュンミ,曾米,
등촌,Deungchon,Deungchon,ドゥンチョン,登村,
염창,Yeomchang,Yeomchang,ヨムチャン,盐仓,
신목동,Sinmokdong,Sinmokdong,シンモクドン,新木洞,
선유도,Seonyudo,Seonyudo,ソンュド,仙遊島,
당산,Dangsan,Dangsan,タンサン,堂山,
국회의사당,National Assembly,National Assembly,クケウィサダン,国会议事堂,
여의도,Yeouido,Yeouido,ヨイド,汝矣島,
샛강,Saetgang,Saetgang,セッガン,赛江,
노량진,Noryangjin,Noryangjin,ノリャンジン,鷺梁津,
노들,Nodeul,Nodeul,ノドゥル,鹭得,
흑석,Heukseok,Heukseok,フッソク,黑石,
동작,Dongjak ,Dongjak ,トンジャク,銅雀,
구반포,Gubanpo,Gubanpo,クバンポ,旧盘浦,
신반포,Sinbanpo,Sinbanpo,シンバンポ,新盘浦,
고속터미널,Express Bus Terminal,Express Bus Terminal,コソクターミナル,高速巴士客運站运站,
사평,Sapyeong,Sapyeong,サピョン,砂平,
신논현,Sinnonhyeon,Sinnonhyeon,シンノンヒョン,新论岘,
언주,Eonju,Eonju,オンジュ,彦州,
선정릉,Seonjeongneung,Seonjeongneung,ソンジョンヌン,宣靖陵,
삼성중앙,Samseongjungang,Samseongjungang,サムソン·チュンアン,三成中央,
봉은사,Bongeunsa,Bongeunsa,ポンウンサ,奉恩寺,
종합운동장,Sports Complex,Sports Complex,チョンハブンドンジャン,综合运动场,
