역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
충정로,Chungjeongno ,Chungjeongno ,チュンジョンノ,忠正路,忠正路
시청,City Hall,City Hall,シチョン,市厅,市廳
을지로입구,Euljiro 1,Euljiroip-gu,ウルチロイック,乙支路入口,乙支路入口
을지로3가,Euljiro 3,Euljiro3,ウルチロサムガ,乙支路三街,乙支路3街
을지로4가,Euljiro 4,Euljiro4,ウルチロサガ,乙支路四街,乙支路4街
동대문역사문화공원,Dongdaemun History & Culture Park,Dongdaemun yeoksa munhwa park,トンデムン·ヨッサムンファゴンウォン,东大门历史文化公园,東大門歷史文化公園
신당,Sindang,Sindang,シンダン,新堂,新堂
상왕십리,Sangwangsimni,Sangwangsimni,サンワンシムニ,上往十里,上往十里
왕십리,Wangsimni,Wangsimni,ワンシムニ,往十里,往十里
한양대,Hanyang Univ.,Hanyang Univ.,ハニャンデ,汉阳大学,漢陽大
뚝섬,Ttukseom,Ttukseom,トゥッソム,堤岛,-
성수,Seongsu,Seongsu,ソンス,圣水站,聖水
건대입구,Konkuk Univ.,Konkuk Univ.,コンデイック,建国大学,建大入口
구의,Guui ,Guui ,クイ,九宜,九宜
강변,Gangbyeon ,Gangbyeon ,カンビョン,江边,江邊
잠실나루,Jamsillaru,Jamsillaru,チャムシルナル,蚕室渡口,蠶室나루
잠실,Jamsil ,Jamsil ,チャムシル,蚕室,蠶室
잠실새내,Jamsilsaenae,Jamsilsaenae,チャムシルセネ,蚕室新川,蠶室-驛
종합운동장,Sports Complex,Sports Complex,チョンハブンドンジャン,综合运动场站,綜合運動場
삼성,Samseong ,Samseong ,サムソン,三成,三成
선릉,Seolleung,Seolleung,ソンルン,宣陵,宣陵
역삼,Yeoksam,Yeoksam,ヨッサム,驿三,驛三
강남,Gangnam,Gangnam,カンナム,江南,江南
교대,Seoul Nat'l Univ. of Education ,Nat'l Univ. of Education,キョデ,首尔教育大学,敎大
서초,Seocho,Seocho,ソチョ,瑞草,瑞草
방배,Bangbae,Bangbae,パンベ,方背,方背
사당,Sadang,Sadang,サダン,舍堂,舍堂
낙성대,Nakseongdae,Nakseongdae,ナッソンデ,落星垈,落星垈
서울대입구,Seoul Nat‘l Univ. ,Seoul Nat‘l Univ. ,ソウルデイック,首尔大学,서울大入口
봉천,Bongcheon,Bongcheon,ポンチョン,奉天,奉天
신림,Sillim,Sillim,シンリム,新林,新林
신대방,Sindaebang,Sindaebang,シンデバン,新大方,新大方
구로디지털단지,Guro Digital Complex,Gurodigiteoldanji,クロ·デジタルダンジ,九老数码园区,九老디지털團地
대림,Daerim ,Daerim ,テリム,大林,大林
신도림,Sindorim,Sindorim,シンドリム,新道林,新道林
문래,Mullae,Mullae,ムンレ,文来,文來
영등포구청,Yeongdeungpo-gu Office,Yeongdeungpo-gu Office,ヨンドゥンポグチョン,永登浦区厅,永登浦區廳
당산,Dangsan,Dangsan,タンサン,堂山,堂山
합정,Hapjeong,Hapjeong,ハプチョン,合井,合井
홍대입구,Hongik Univ.,Hongik Univ.,ホンデイック,弘益大学,弘大入口
신촌,Sinchon,Sinchon,シンチョン,新村,新村
이대,Ewha Womans Univ.,Ewha Womans Univ.,イデ,梨花女子大学,梨大
아현,Ahyeon,Ahyeon,アヒョン,阿岘,阿峴
용답,Yongdap,Yongdap,ヨンダプ,龙踏,龍踏
신답,Sindap,Sindap,シンダプ,新踏,新踏
용두,Yongdu ,Yongdu ,ヨンドゥ,龙头,龍頭
신설동,Sinseoldong,Sinseol-dong,シンソルトン,新设洞,新設洞
도림천,Dorimcheon,Dorimcheon,トリムチョン,道林川,道林川
양천구청,Yangcheon-gu Office,Yangcheon-gu Office,ヤンチョングチョン,阳川区厅,陽川區廳
신정네거리,Sinjeongnegeori,Sinjeongnegeo-ri,シンジョンネゴリ,新亭十字路口,新亭네거리
까치산,Kkachisan,Kkachisan,カチサン,喜鹊山站,까치山
