역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
새절,Saejeol ,Saejeol,セジョル,赛折,새절
응암,Eungam,Eungam,ウンアム,鷹岩,鷹岩
역촌,Yeokchon,Yeokchon,ヨクチョン,驿村,驛村
불광,Bulgwang,Bulgwang,プルグァン,佛光,佛光
독바위,Dokbawi,Dokbawi,トッパウィ,瓮岩,독바위
연신내,Yeonsinnae,Yeonsinnae,ヨンシンネ,延新川,연신내
구산,Gusan,Gusan,クサン,亀山,龜山
증산,Jeungsan ,Jeungsan,チュンサン,缯山,繒山
디지털미디어시티,Digital Media City,Dijiteolmidieositi ,デジタルメディアシティ,数码媒体城,디지털미디어시티
월드컵경기장,World Cup Stadium ,Worldcup Stadium,ワールドカップキョンギジャン,世界杯体育场,월드컵競技場
마포구청,Mapo-gu Office,Mapo-gu Office,マポグチョン,麻浦区厅,麻浦區廳
망원,Mangwon,Mangwon,マンウォン,望远,望遠
합정,Hapjeong,Hapjeong ,ハプチョン,合井,合井
상수,Sangsu,Sangsu ,サンス,上水,上水
광흥창,Gwangheungchang ,Gwangheungchang,クァンフンチャン,广兴仓,廣興倉
대흥,Daeheung ,Daeheung,テフン,大兴,大興
공덕,Gongdeok,Gongdeok,コンドク,孔德,孔德
효창공원앞,Hyochang Park ,Hyochang park ,ヒョチャンゴンウォンアプ,孝昌公園,孝昌公園앞
삼각지,Samgakji,Samgakji ,サムガクチ,三角地,三角地
녹사평,Noksapyeong ,Noksapyeong,ノッサピョン,綠莎坪,綠莎坪
이태원,Itaewon,Itaewon ,イテウォン,梨泰院,梨泰院
한강진,Hangangjin,Hangangjin,ハンガンジン,汉江鎭,漢江鎭
버티고개,Beotigogae,Beotigogae,ポティゴゲ,波堤岭,버티고개
약수,Yaksu,Yaksu,ヤッス,药水站,藥水
청구,Cheonggu,Cheong-gu,チョング,青丘,靑丘
신당,Sindang,Sindang ,シンダン,新堂,新堂
동묘앞,Dongmyo,Dongmyoap ,トンミョアプ,东庙,東廟앞
창신,Changsin,Changsin ,チャンシン,昌信,昌信
보문,Bomun,Bomun,ポムン,普门,普門
안암,Anam ,Anam,アナム,安岩,安岩
고려대,Korea Univ. ,Korea Univ.,コリョデ,高丽大学,高麗大
월곡,Wolgok ,Wolgok,ウォルゴク,月谷,月谷
상월곡,Sangwolgok,Sangwolgok,サンウォルゴク,上月谷,上月谷
돌곶이,Dolgoji,Dolgoji ,トルゴジ,石串,돌곶이
석계,Seokgye,Seokgye ,ソッケ,石溪,石溪
태릉입구,Taereung,Taereung,テルンイック,泰陵,泰陵入口
화랑대,Hwarangdae ,Hwarangdae,ファランデ,花郎大,花郞臺
봉화산,Bonghwasan ,Bonghwasan,ボンファサン,烽火山,烽火山
