역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
방화,Banghwa,Banghwa,パンファ,傍花,傍花
개화산,Gaehwasan,Gaehwasan,ケファサン,开花山,開花山
김포공항,Gimpo Int'l Airport,Gimpo Int'l Airport,キンポゴンハン,金浦机场,金浦空港
송정,Songjeong,Songjeong,ソンジョン,松亭,松亭
마곡,Magok,Magok,マゴク,麻谷,麻谷
발산,Balsan,Balsan,パルサン,钵山,鉢山
우장산,Ujangsan,Ujangsan,ウジャンサン,雨裝山,雨裝山
화곡,Hwagok,Hwagok,ファゴク,禾谷,禾谷
까치산,Kkachisan,Kkachisan,カチサン,喜鹊山站,까치山
신정,Sinjeong ,Sinjeong,シンジョン,新亭,新亭
목동,Mokdong,Mok-dong,モクトン,木洞,木洞
오목교,Omokgyo ,Omokgyo,オモッキョ,梧木桥,梧木橋
양평,Yangpyeong,Yangpyeong,ヤンピョン,杨坪,楊坪
영등포구청,Yeongdeungpo-gu Office,Yeongdeungpo-gu Office,ヨンドンポグチョン,永登浦区厅,永登浦區廳
영등포시장,Yeongdeungpo Market,Yeongdeungpo Market,ヨンドンポシジャン,永登浦市场,永登浦市場
신길,Singil,Sin-gil,シンギル,新吉,新吉
여의도,Yeouido,Yeoui-do,ヨイド,汝矣岛站,汝矣島
여의나루,Yeouinaru,Yeouinaru,ヨイナル,汝矣渡口,여의나루
마포,Mapo,Mapo,マポ,麻浦,麻浦
공덕,Gongdeok,Gongdeok,コンドク,孔德,孔德
애오개,Aeogae,Aeogae,エオゲ,儿岭,애오개
충정로,Chungjeongno ,Chungjeong-ro,チュンジョンノ,忠正路,忠正路
서대문,Seodaemun,Seodaemun,ソデムン,西大门,西大門
광화문,Gwanghwamun,Gwanghwamun,クァンファムン,光化门,光化門
종로3가,Jongno 3,Jongno3-ga,チョンノサムガ,钟路三街站,鍾路3街
을지로4가,Euljiro 4,Euljiro4-ga,ウルチロサガ,乙支路四街,乙支路4街
동대문역사문화공원,Dongdaemun History & Culture Park,Dongdaemunyeoksamunhwa park,トンデムン·ヨッサムンファゴンウォン,东大门历史文化公园,東大門歷史文化公園
청구,Cheonggu,Cheong-gu,チョング,青丘,靑丘
신금호,Singeumho,Singeumho,シングムホ,新金湖,新金湖
행당,Haengdang,Haengdang ,ヘンダン,杏堂,杏堂
왕십리,Wangsimni,Wangsimni ,ワンシムニ,往十里,往十里
마장,Majang,Majang ,マジャン,马场,馬場
답십리,Dapsimni,Dapsimni ,タプシムニ,踏十里,踏十里
장한평,Janghanpyeong,Janghanpyeong ,チャンハンピョン,长安坪,長漢坪
군자,Gunja ,Gunja,クンジャ,君子,君子
아차산,Achasan ,Achasan,アチャサン,峨嵯山,峨嵯山
광나루,Gwangnaru ,Gwangnaru,クァンナル,广渡口,광나루
천호,Cheonho ,Cheonho,チョンホ,千戶,千戶
강동,Gangdong,Gang-dong,カンドン,江东站,江東
길동,Gildong,Gil-dong ,キルトン,吉洞,吉洞
굽은다리,Gubeundari ,Gubeunda-ri,クブンダリ,曲桥,굽은다리
명일,Myeongil,Myeongil ,ミョンイル,明逸,明逸
고덕,Godeok,Godeok,コドク,高德,高德
상일동,Sangildong,Sangil-dong,サンイルトン,上一洞,上一洞
둔촌동,Dunchondong,Dunchon-dong,トゥンチョンドン,遁村洞,遁村洞
올림픽공원,Olympic Park ,Olympic park,オリンピック·コンウォン,奥林匹克公园,올림픽公園
방이,Bangi,Bang,パンイ,芳荑,芳荑
오금,Ogeum,Ogeum ,オグム,梧琴,梧琴
개롱,Gaerong,Gaerong ,ケロン,开笼,開籠
거여,Geoyeo,Geoyeo,コヨ,巨余,巨余
마천,Macheon,Macheon,マチョン,马川,馬川
