역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
당고개,Danggogae,Danggogae,タンゴゲ,堂岭,-
상계,Sanggye,Sanggye,サンゲ,上溪,上溪
노원,Nowon,Nowon,ノウォン,芦原,蘆原
창동,Changdong,Chang-dong,チャンドン,仓洞站,倉洞
쌍문,Ssangmun,Ssangmun,サンムン,双门,雙門
수유,Suyu ,Suyu ,スユ,水逾,水踰
미아,Mia ,Mia,ミア,彌阿,彌阿
미아사거리,Miasageori ,Miasageo-ri ,ミアサゴリ,弥阿丁字路囗,彌阿사거리
길음,Gireum,Gireum,キルム,吉音,吉音
성신여대입구,Sungshin Women's Univ. ,Sungshin Women's Univ. ,ソンシンヨデイック,诚信女子大学,誠信女大入口
한성대입구,Hansung Univ. ,Hansung Univ. ,ハンソンデイック,汉城大学,漢城大入口
혜화,Hyehwa,Hyehwa,ヘファ,惠化,惠化
동대문,Dongdaemun,Dongdaemun,トンデムン,东大门,東大門
동대문역사문화공원,Dongdaemun History & Culture Park,Dongdaemun yeoksa munhwa park,トンデムン·ヨッサムンファゴンウォン,东大门历史文化公园,東大門歷史文化公園
충무로,Chungmuro,Chungmu-ro,チュンムロ,忠武路,忠武路
명동,Myeongdong,Myeong-dong,ミョンドン,明洞,明洞
회현,Hoehyeon ,Hoehyeon ,フェヒョン,会贤,會賢
서울역,Seoul Station,Seoul Station,ソウルヨク,首尔站,-
숙대입구,Sookmyung Women's Univ. ,Sookmyung Women's Univ. ,スクテイック,淑明女子大学,淑大入口
삼각지,Samgakji,Samgakji,サムガクチ,三角地,三角地
신용산,Sinyongsan,Sinyongsan,シニョンサン,新龙山,新龍山
이촌,Ichon ,Ichon ,イチョン,二村,二村
동작,Dongjak ,Dongjak ,トンジャク,銅雀,銅雀
총신대입구,Chongshin Univ. ,Chongshin Univ. ,チョンシンデイック,总神大学,總神大入口
사당,Sadang,Sadang,サダン,舍堂,舍堂
남태령,Namtaeryeong,Namtaeryeong,ナムテリョン,南泰岭,南泰嶺
선바위,Seonbawi,Seonbawi,ソンバウィ,立岩,-
경마공원,Seoul Racecourse Park,Racecourse park,キョンマゴンウォン,赛马公园,競馬公園
대공원,Seoul Grand Park,Grand park,テゴンウォン,首尔大公园,大公園
과천,Gwacheon,Gwacheon,クァチョン,果川,果川
정부과천청사,Government Complex-Gwacheon,Government Complex Gwacheon,チョンブ·グァチョンチョンサ,政府果川厅舍,政府果
인덕원,Indeogwon,Indeogwon,インドグォン,仁德院,仁德院
평촌,Pyeongchon,Pyeongchon,ピョンチョン,坪村,坪村
범계,Beomgye,Beomgye,ポムゲ,凡溪,-
금정,Geumjeong,Geumjeong,クムジョン,衿井,衿井
산본,Sanbon,Sanbon,サンボン,山本,山本
수리산,Surisan,Surisan,スリサン,修理山,修理山
대야미,Daeyami,Daeyami,テヤミ,大夜味,大夜味
반월,Banwol,Banwol,パヌォル,半月,半月
상록수,Sangnoksu,Sangnoksu,サンロッス,常绿樹,常綠樹
한대앞,Hangyang Univ. at Ansan,Handaeap,ハンデアプ,汉阳大学,漢大앞
중앙,Jungang,ungang,チュンアン,中央,中央
고잔,Gojan,Gojan,コジャン,古栈,古棧
초지,Choji,Choji,チョジ,草芝,草芝
안산,Ansan,Ansan,アンサン,安山,安山
신길온천,Singiloncheon,Singiloncheon,シンギルオンチョン,新吉溫泉,新吉溫泉
정왕,Jeongwang,Jeongwang,チョンワン,正往,正往
오이도,Oido,Oido,オイド,烏耳島,烏耳島
