역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
검단오류,Geomdan Oryu,Geomdan Oryu,コムダンオリュ,黔丹梧柳,
왕길,Wanggil,Wanggil,ワンギル,旺吉,
검단사거리,Geomdan Sageori,Geomdan Sageori,コムダンサゴリ,黔丹十字路口,
마전,Majeon,Majeon,マジョン,麻田,
완정,Wanjeong,Wanjeong,ワンジョン,完井,
독정,Dokjeong,Dokjeong,ドクチョン,篤亭,
검암,Geomam,Geomam,コマム,黔岩,
검바위,Geombawi,Geombawi,コムバウィ,黔石,
아시아드경기장,Asiad Stadium,Asiad Stadium,アシアード競技場,亚运会赛场,
서구청,Seo-gu Office,Seo-gu Office,ソグチョン,西区厅,
가정,Gajeong,Gajeong,カジョン,佳亭,
가정중앙시장,Gajeong Jungang Market,Gajeong Jungang Market,カジョンチュンアンシジャン,佳亭中央市场,
석남,Seongnam,Seongnam,ソクナム,石南,
서부여성회관,West Woman’s Community Center,West Woman’s Community Center,ソブヨソンフェグァン,西部女性会馆,
인천가좌,Incheon Gajwa,Incheon Gajwa,インチョンカジュア,仁川佳佐,
가재울,Gajaeul,Gajaeul,カジェウル,蝲蛄溪,
주안국가산단,Juan National Industrial Complex,Juan National Industrial Complex,チュアンクッカサンダン,朱安国家産团,
주안,Juan,Juan,チュアン,朱安,
시민공원,Citizens Park,Citizens Park,シミンゴンウォン,市民公园,
석바위시장,Seokbawi Market,Seokbawi Market,ソッバウィシジャン,石岩市场,
인천시청,Incheon City Hall,Incheon City Hall,インチョンシチョン,仁川市厅,
석천사거리,Seokcheon Sageori,Seokcheon Sageori,ソクチョンサゴリ,石泉十字路口,
모래내시장,Moraenae Market,Moraenae Market,モレネシジャン,沙丘市场,
만수,Mansu,Mansu,マンス,万寿,
남동구청,Namdong-gu Office,Namdong-gu Office,ナムドングチョン,南洞区厅,
인천대공원,Incheon Grand Park,Incheon Grand Park,インチョンテゴンウォン,仁川大公园,
운연,Unyeon,Unyeon,ウニョン,云宴,
